url,label
https://www.7nishchay-yuvaupmission.bihar.gov.in/,malware
https://www.collegepravesh.com/engineering-colleges/hit-kolkata/,malware
https://www.shiksha.com/,phishing
https://www.shiksha.com/college/heritage-institute-of-technology-east-calcutta-township-kolkata-37116/ranking,phishing
https://www.shutterstock.com/search/website-links?dd_referrer=https%3A%2F%2Fwww.google.com%2F,malware
https://javascript.info/,phishing
https://www.javascripttutorial.net/,phishing
https://www.codechef.com/cpp-online-compiler,malware
https://web.dev/learn,phishing
https://www.udemy.com/course/free-learn-c-tutorial-beginners/?srsltid=AfmBOopnAqciXP1eXo9GWEkSUbCJMpHhZsAU6Bucg2-n1XIGSRPajaog,phishing
https://cds.iisc.ac.in/wp-content/uploads/DS286.AUG2016.Lab2_.cpp_tutorial.pdf,phishing
https://www.udemy.com/courses/development/web-development/?srsltid=AfmBOopigkzc0RIhSLZ0f0VDAHl6xkFI9tNn74nl7dgRsQ_TSvye0lcE,malware
https://makaut1.ucanapply.com/smartexam/public/,malware
https://www.isro.gov.in/,malware
https://jigyasa.iirs.gov.in/yuvika,malware
https://www.vssc.gov.in/,malware
https://aws.amazon.com/free/machine-learning/?trk=83ca7165-14bd-4cdd-b1ae-eb166a9452f8&sc_channel=ps&ef_id=CjwKCAjwhqfPBhBWEiwAZo196hVVgwMnUYOvlbXNS5R68dJmZ_7I-gQI1vqcLJAi89iFxAMuNATUDxoCT0sQAvD_BwE:G:s&s_kwcid=AL!4422!3!798628407035!e!!g!!machine%20learning!23610840673!193803754796&gad_campaignid=23610840673&gbraid=0AAAAADjHtp-ORPd-zhMp5ouX9jFjt5Grp&gclid=CjwKCAjwhqfPBhBWEiwAZo196hVVgwMnUYOvlbXNS5R68dJmZ_7I-gQI1vqcLJAi89iFxAMuNATUDxoCT0sQAvD_BwE,phishing
https://www.datacamp.com/category/machine-learning?page=1&duration=2%3A5,malware
https://azure.microsoft.com/en-us/products/machine-learning,phishing
https://www.icloud.com/,malware
https://www.mckinsey.com/featured-insights/mckinsey-explainers/what-is-machine-learning,phishing
https://www.flipkart.com/,malware
https://gitlab.com,phishing
https://nvidia.com,phishing
https://microsoft.com,phishing
https://azure.microsoft.com,phishing
https://ox.ac.uk,phishing
https://ethz.ch,phishing
https://tsinghua.edu.cn,phishing
https://nus.edu.sg,malware
https://europa.eu,phishing
https://who.int,phishing
https://jp.go.jp,phishing
https://bundesregierung.de,phishing
https://australia.gov.au,phishing
https://theguardian.com,phishing
https://hbr.org,phishing
https://news.google.com,phishing
https://wikipedia.org,phishing
https://isro.gov.in,malware
https://esa.int,phishing
https://cern.ch,phishing
https://mountsinai.org,phishing
https://fonts.google.com,malware
https://irctc.co.in,phishing
https://passportindia.gov.in,malware
https://deepmind.google,phishing
https://zoopla.co.uk,malware
https://indeed.com,phishing
https://docusign.com,phishing
https://monster.com,phishing
https://levels.fyi,phishing
https://dnb.de,phishing
https://maersk.com,phishing
https://msc.com,phishing
https://coscoshipping.com,phishing
https://hapag-lloyd.com,phishing
https://dpd.com,phishing
https://hermesworld.com,phishing
https://royalmail.com,phishing
https://auspost.com.au,phishing
https://dhl.com,phishing
https://usps.com,phishing
https://ups.com,phishing
https://greenpeace.org.in,phishing
